Cohort,Customers,0-6 Days,7-13 Days,14-20 Days,21-27 Days,28-34 Days,35-41 Days,42-48 Days,49-55 Days,56-62 Days,63-69 Days,70-76 Days,77-83 Days,84-90 Days,91-97 Days,98-104 Days,105-111 Days,112-118 Days,119-125 Days,126-132 Days,133-139 Days,140-146 Days,147-153 Days,154-160 Days,161-167 Days,168-174 Days,175-181 Days,182-188 Days
2015/07/01-7-07/00/00,25716 Customers,"0.6% orderers (163)
0.6% 1st time (163)",,,,,,,,,,,,,,,,,,,,,,,,,,
2015/06/24-6-30/00/00,24614 Customers,"0.5% orderers (126)
0.5% 1st time (120)","0.1% orderers (31)
0.1% 1st time (18)",,,,,,,,,,,,,,,,,,,,,,,,,
2015/06/17-6-23/00/00,23824 Customers,"0.7% orderers (165)
0.6% 1st time (152)","0.2% orderers (45)
0.1% 1st time (24)","0.1% orderers (28)
0.0% 1st time (11)",,,,,,,,,,,,,,,,,,,,,,,,
2015/06/10-6-16/00/00,22859 Customers,"0.7% orderers (161)
0.6% 1st time (128)","0.2% orderers (52)
0.1% 1st time (31)","0.2% orderers (39)
0.1% 1st time (22)","0.1% orderers (25)
0.1% 1st time (17)",,,,,,,,,,,,,,,,,,,,,,,
2015/06/03-6-09/00/00,21832 Customers,"0.7% orderers (143)
0.5% 1st time (114)","0.2% orderers (46)
0.1% 1st time (25)","0.2% orderers (45)
0.1% 1st time (21)","0.2% orderers (34)
0.1% 1st time (15)","0.1% orderers (29)
0.1% 1st time (15)",,,,,,,,,,,,,,,,,,,,,,
2015/05/27-6-02/00/00,20902 Customers,"0.6% orderers (127)
0.5% 1st time (96)","0.2% orderers (44)
0.1% 1st time (19)","0.2% orderers (40)
0.1% 1st time (20)","0.2% orderers (39)
0.1% 1st time (18)","0.2% orderers (38)
0.1% 1st time (18)","0.1% orderers (17)
0.0% 1st time (9)",,,,,,,,,,,,,,,,,,,,,
2015/05/20-5-26/00/00,20000 Customers,"0.6% orderers (129)
0.4% 1st time (82)","0.3% orderers (54)
0.1% 1st time (22)","0.2% orderers (49)
0.1% 1st time (19)","0.2% orderers (34)
0.1% 1st time (14)","0.2% orderers (44)
0.1% 1st time (15)","0.2% orderers (37)
0.1% 1st time (15)","0.1% orderers (25)
0.1% 1st time (14)",,,,,,,,,,,,,,,,,,,,
2015/05/13-5-19/00/00,19103 Customers,"0.5% orderers (98)
0.3% 1st time (66)","0.2% orderers (34)
0.1% 1st time (19)","0.2% orderers (30)
0.0% 1st time (7)","0.2% orderers (29)
0.1% 1st time (11)","0.2% orderers (30)
0.1% 1st time (10)","0.2% orderers (30)
0.1% 1st time (15)","0.1% orderers (27)
0.1% 1st time (14)","0.1% orderers (17)
0.1% 1st time (11)",,,,,,,,,,,,,,,,,,,
2015/05/06-5-12/00/00,18435 Customers,"0.6% orderers (102)
0.4% 1st time (74)","0.2% orderers (30)
0.1% 1st time (11)","0.1% orderers (27)
0.1% 1st time (11)","0.2% orderers (30)
0.1% 1st time (15)","0.2% orderers (30)
0.0% 1st time (7)","0.2% orderers (28)
0.0% 1st time (8)","0.2% orderers (33)
0.1% 1st time (12)","0.1% orderers (22)
0.0% 1st time (8)","0.1% orderers (13)
0.0% 1st time (9)",,,,,,,,,,,,,,,,,,
2015/04/29-5-05/00/00,17738 Customers,"0.7% orderers (119)
0.4% 1st time (79)","0.2% orderers (34)
0.1% 1st time (12)","0.2% orderers (35)
0.0% 1st time (8)","0.2% orderers (33)
0.1% 1st time (15)","0.2% orderers (33)
0.0% 1st time (5)","0.2% orderers (27)
0.0% 1st time (8)","0.2% orderers (33)
0.1% 1st time (9)","0.2% orderers (27)
0.1% 1st time (9)","0.2% orderers (33)
0.1% 1st time (16)","0.1% orderers (15)
0.0% 1st time (5)",,,,,,,,,,,,,,,,,
